====================================================================================================
  QUEST 3 AR ROBOT CONTROL - DEBUG SESSION
  Started: 2026-03-11 17:24:21
  Platform: Windows 11
====================================================================================================

[17:24:21.787] [INIT] Server starting...
[17:24:21.787] [INIT] Platform: Windows
[17:24:21.789] [INIT] Arduino connected: False
[17:38:35.949] [INFO] Quest 3 connected from 10.201.149.105
[17:38:35.950] [INFO] Active connections: 1
[17:38:47.029] [MODE] MODE 1 ACTIVATED: Manual Control
[17:45:28.422] [TRACK] Mode 4 tracking: X=73.9cm, Z=2.4cm, Heading=254.5°
[17:45:29.645] [TRACK] Mode 4 tracking: X=73.9cm, Z=2.4cm, Heading=254.5°
[17:45:35.686] [TRACK] Mode 4 tracking: X=73.9cm, Z=2.4cm, Heading=254.5°
[17:45:37.837] [TRACK] Mode 4 tracking: X=73.9cm, Z=2.4cm, Heading=254.5°
[17:45:39.618] [TRACK] Mode 4 tracking: X=73.9cm, Z=2.4cm, Heading=254.5°
[17:45:42.818] [TRACK] Mode 4 tracking: X=73.9cm, Z=2.4cm, Heading=254.5°
[17:45:43.273] [TRACK] Mode 4 tracking: X=73.9cm, Z=2.4cm, Heading=254.5°
[17:45:47.618] [TRACK] Mode 4 tracking: X=73.9cm, Z=2.4cm, Heading=254.5°
[17:45:49.831] [TRACK] Mode 4 tracking: X=73.9cm, Z=2.4cm, Heading=254.5°
[17:45:50.228] [TRACK] Mode 4 tracking: X=73.9cm, Z=2.4cm, Heading=254.5°
[17:45:51.456] [TRACK] Mode 4 tracking: X=73.9cm, Z=2.4cm, Heading=254.5°
[17:45:52.624] [TRACK] Mode 4 tracking: X=73.9cm, Z=2.4cm, Heading=254.5°
[17:45:54.631] [TRACK] Mode 4 tracking: X=73.9cm, Z=2.4cm, Heading=254.5°
[17:45:55.040] [TRACK] Mode 4 tracking: X=73.9cm, Z=2.4cm, Heading=254.5°
[17:45:55.225] [TRACK] Mode 4 tracking: X=73.9cm, Z=2.4cm, Heading=254.5°
[17:45:55.655] [TRACK] Mode 4 tracking: X=73.9cm, Z=2.4cm, Heading=254.5°
[17:45:56.015] [TRACK] Mode 4 tracking: X=73.9cm, Z=2.4cm, Heading=254.5°
[17:45:56.950] [TRACK] Mode 4 tracking: X=73.9cm, Z=2.4cm, Heading=254.5°
[17:45:57.295] [TRACK] Mode 4 tracking: X=73.9cm, Z=2.4cm, Heading=254.5°
[17:45:58.443] [TRACK] Mode 4 tracking: X=73.9cm, Z=2.4cm, Heading=254.5°
[17:45:59.854] [TRACK] Mode 4 tracking: X=73.9cm, Z=2.4cm, Heading=254.5°
[17:46:00.672] [TRACK] Mode 4 tracking: X=73.9cm, Z=2.4cm, Heading=254.5°
[17:46:01.287] [TRACK] Mode 4 tracking: X=73.9cm, Z=2.4cm, Heading=254.5°
[17:46:02.421] [TRACK] Mode 4 tracking: X=73.9cm, Z=2.4cm, Heading=254.5°
[17:46:03.232] [TRACK] Mode 4 tracking: X=73.9cm, Z=2.4cm, Heading=254.5°
[17:46:03.437] [TRACK] Mode 4 tracking: X=73.9cm, Z=2.4cm, Heading=254.5°
[17:46:05.691] [TRACK] Mode 4 tracking: X=73.9cm, Z=2.4cm, Heading=254.5°
