====================================================================================================
  QUEST 3 AR ROBOT CONTROL - DEBUG SESSION
  Started: 2026-03-15 12:46:44
  Platform: Windows 11
====================================================================================================

[12:46:44.200] [INIT] Server starting...
[12:46:44.201] [INIT] Platform: Windows
[12:46:44.201] [INIT] Arduino connected: False
[12:48:38.449] [INFO] Quest 3 connected from 192.168.101.105
[12:48:38.450] [INFO] Active connections: 1
[12:55:28.978] [TRACK] Mode 4 tracking: X=-6.1cm, Z=-26.6cm, Heading=32.5°
[12:55:34.344] [TRACK] Mode 4 tracking: X=-6.1cm, Z=-26.6cm, Heading=32.5°
[12:55:36.157] [TRACK] Mode 4 tracking: X=-6.1cm, Z=-26.6cm, Heading=32.5°
[12:55:36.363] [TRACK] Mode 4 tracking: X=-6.1cm, Z=-26.6cm, Heading=32.5°
[12:55:37.955] [TRACK] Mode 4 tracking: X=-6.1cm, Z=-26.6cm, Heading=32.5°
[12:55:38.546] [TRACK] Mode 4 tracking: X=-6.1cm, Z=-26.6cm, Heading=32.5°
[12:55:40.144] [TRACK] Mode 4 tracking: X=-6.1cm, Z=-26.6cm, Heading=32.5°
[12:55:44.144] [TRACK] Mode 4 tracking: X=-6.1cm, Z=-26.6cm, Heading=32.5°
[12:55:48.149] [TRACK] Mode 4 tracking: X=-6.1cm, Z=-26.6cm, Heading=32.5°
[12:55:48.344] [TRACK] Mode 4 tracking: X=-6.1cm, Z=-26.6cm, Heading=32.5°
[12:55:48.822] [TRACK] Mode 4 tracking: X=-6.1cm, Z=-26.6cm, Heading=32.5°
[12:55:51.155] [TRACK] Mode 4 tracking: X=-6.1cm, Z=-26.6cm, Heading=32.5°
[12:55:55.548] [TRACK] Mode 4 tracking: X=-6.1cm, Z=-26.6cm, Heading=32.5°
[12:55:57.745] [TRACK] Mode 4 tracking: X=5.8cm, Z=-32.3cm, Heading=29.3°
[12:56:01.945] [TRACK] Mode 4 tracking: X=5.8cm, Z=-32.3cm, Heading=29.3°
[12:56:02.946] [TRACK] Mode 4 tracking: X=5.8cm, Z=-32.3cm, Heading=29.3°
[12:56:03.942] [TRACK] Mode 4 tracking: X=5.8cm, Z=-32.3cm, Heading=29.3°
[12:56:04.341] [TRACK] Mode 4 tracking: X=5.8cm, Z=-32.3cm, Heading=29.3°
[12:56:04.941] [TRACK] Mode 4 tracking: X=5.8cm, Z=-32.3cm, Heading=29.3°
[12:56:05.555] [TRACK] Mode 4 tracking: X=5.8cm, Z=-32.3cm, Heading=29.3°
[12:56:08.345] [TRACK] Mode 4 tracking: X=5.8cm, Z=-32.3cm, Heading=29.3°
[12:56:09.945] [TRACK] Mode 4 tracking: X=5.8cm, Z=-32.3cm, Heading=29.3°
[12:56:10.345] [TRACK] Mode 4 tracking: X=5.8cm, Z=-32.3cm, Heading=29.3°
[12:56:13.158] [TRACK] Mode 4 tracking: X=5.8cm, Z=-32.3cm, Heading=29.3°
[12:56:15.543] [TRACK] Mode 4 tracking: X=5.8cm, Z=-32.3cm, Heading=29.3°
[12:56:16.744] [TRACK] Mode 4 tracking: X=5.8cm, Z=-32.3cm, Heading=29.3°
[12:56:24.345] [TRACK] Mode 4 tracking: X=5.8cm, Z=-32.3cm, Heading=29.3°
[12:56:28.989] [TRACK] Mode 4 tracking: X=5.8cm, Z=-32.3cm, Heading=29.3°
[12:56:29.164] [TRACK] Mode 4 tracking: X=5.8cm, Z=-32.3cm, Heading=29.3°
[12:56:29.342] [TRACK] Mode 4 tracking: X=5.8cm, Z=-32.3cm, Heading=29.3°
[12:56:30.343] [TRACK] Mode 4 tracking: X=5.8cm, Z=-32.3cm, Heading=29.3°
[12:56:31.153] [TRACK] Mode 4 tracking: X=5.8cm, Z=-32.3cm, Heading=29.3°
[12:56:36.948] [TRACK] Mode 4 tracking: X=5.8cm, Z=-32.3cm, Heading=29.3°
[12:56:37.138] [TRACK] Mode 4 tracking: X=5.8cm, Z=-32.3cm, Heading=29.3°
[12:56:40.749] [TRACK] Mode 4 tracking: X=13.3cm, Z=-59.5cm, Heading=197.8°
[12:56:41.749] [TRACK] Mode 4 tracking: X=13.3cm, Z=-59.5cm, Heading=244.9°
[12:56:43.339] [TRACK] Mode 4 tracking: X=13.3cm, Z=-59.5cm, Heading=252.0°
[12:56:46.140] [TRACK] Mode 4 tracking: X=13.3cm, Z=-59.5cm, Heading=252.3°
[12:56:48.147] [TRACK] Mode 4 tracking: X=13.3cm, Z=-59.5cm, Heading=252.3°
[12:56:48.543] [TRACK] Mode 4 tracking: X=13.4cm, Z=-58.9cm, Heading=252.4°
[12:56:49.942] [TRACK] Mode 4 tracking: X=13.0cm, Z=-61.2cm, Heading=255.5°
[12:56:52.139] [TRACK] Mode 4 tracking: X=12.4cm, Z=-60.4cm, Heading=251.2°
[12:56:55.141] [TRACK] Mode 4 tracking: X=12.4cm, Z=-60.4cm, Heading=250.2°
[12:56:55.550] [TRACK] Mode 4 tracking: X=12.4cm, Z=-60.4cm, Heading=250.2°
[12:56:55.941] [TRACK] Mode 4 tracking: X=12.4cm, Z=-60.4cm, Heading=250.1°
[12:56:56.144] [TRACK] Mode 4 tracking: X=12.4cm, Z=-60.4cm, Heading=250.1°
[12:56:56.945] [TRACK] Mode 4 tracking: X=12.4cm, Z=-60.4cm, Heading=250.1°
[12:56:57.745] [TRACK] Mode 4 tracking: X=12.4cm, Z=-60.4cm, Heading=250.1°
[12:56:58.742] [TRACK] Mode 4 tracking: X=12.2cm, Z=-60.4cm, Heading=250.0°
[12:56:59.744] [TRACK] Mode 4 tracking: X=12.2cm, Z=-60.5cm, Heading=250.2°
[12:57:00.952] [TRACK] Mode 4 tracking: X=12.2cm, Z=-60.4cm, Heading=250.2°
[12:57:02.743] [TRACK] Mode 4 tracking: X=5.7cm, Z=-56.7cm, Heading=230.9°
[12:57:09.140] [TRACK] Mode 4 tracking: X=13.5cm, Z=-63.0cm, Heading=266.1°
[12:57:11.942] [TRACK] Mode 4 tracking: X=15.5cm, Z=-62.4cm, Heading=266.4°
[12:57:14.539] [TRACK] Mode 4 tracking: X=17.4cm, Z=-59.4cm, Heading=256.8°
[12:57:15.940] [TRACK] Mode 4 tracking: X=21.3cm, Z=-57.2cm, Heading=254.7°
[12:57:17.338] [TRACK] Mode 4 tracking: X=21.6cm, Z=-51.8cm, Heading=234.5°
